service_id,date,exception_type
"538_100950","20200117","1"
"538_100950","20200118","1"
"538_100950","20200120","1"
"538_100950","20200121","1"
"538_100950","20200122","1"
"538_100950","20200123","1"
"538_100950","20200124","1"
"538_100950","20200125","1"
"538_100950","20200127","1"
"538_100950","20200128","1"
"538_100950","20200129","1"
"538_100950","20200130","1"
"538_100950","20200131","1"
"538_100950","20200201","1"
"538_100950","20200203","1"
"538_100950","20200204","1"
"538_100950","20200205","1"
"538_100950","20200206","1"
"538_100950","20200207","1"
"538_100950","20200208","1"
"538_100950","20200210","1"
"538_100950","20200211","1"
"538_100950","20200212","1"
"538_100950","20200213","1"
"538_100950","20200214","1"
"538_100950","20200215","1"
"538_100950","20200217","1"
"538_100950","20200218","1"
"538_100950","20200219","1"
"538_100950","20200220","1"
"538_100950","20200221","1"
"538_100950","20200222","1"
"538_100950","20200224","1"
"538_100950","20200225","1"
"538_100950","20200226","1"
"538_100950","20200227","1"
"538_100950","20200228","1"
"538_100950","20200229","1"
"538_100950","20200302","1"
"538_100950","20200303","1"
"538_100950","20200304","1"
"538_100950","20200305","1"
"538_100950","20200306","1"
"538_100950","20200307","1"
"538_100950","20200309","1"
"538_100950","20200310","1"
"538_100950","20200311","1"
"538_100950","20200312","1"
"538_100950","20200313","1"
"538_100950","20200314","1"
"538_100950","20200316","1"
"538_100950","20200317","1"
"538_100950","20200318","1"
"538_100950","20200319","1"
"538_100950","20200320","1"
"538_100950","20200321","1"
"538_100950","20200323","1"
"538_100950","20200324","1"
"538_100950","20200325","1"
"538_100950","20200326","1"
"538_100950","20200327","1"
"538_100950","20200328","1"
"538_100950","20200330","1"
"538_100950","20200331","1"
"538_100951","20191003","1"
"538_100951","20191010","1"
"538_100951","20191017","1"
"538_100951","20191024","1"
"538_100951","20191031","1"
"538_100951","20191107","1"
"538_100951","20191114","1"
"538_100951","20191121","1"
"538_100951","20191128","1"
"538_100951","20191205","1"
"538_100951","20191212","1"
"538_100951","20191219","1"
"538_100951","20200102","1"
"538_100951","20200109","1"
"538_100951","20200116","1"
"538_100951","20200123","1"
"538_100951","20200130","1"
"538_100951","20200206","1"
"538_100951","20200213","1"
"538_100951","20200220","1"
"538_100951","20200227","1"
"538_100951","20200305","1"
"538_100951","20200312","1"
"538_100951","20200319","1"
"538_100951","20200326","1"
"538_100951","20200402","1"
"538_100951","20200409","1"
"538_100951","20200416","1"
"538_100951","20200423","1"
"538_100951","20200430","1"
