stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"099520","Misileo,1","44.1604136196311","11.5877438777798","0",""
"099530","Misileo,Fr.3a","44.1609442595836","11.5881061619645","0",""
"099560","Sp.306,Km 29,6","44.1554858014514","11.5848156013224","0",""
"099570","Sp.306,Km 29,6","44.1557525131551","11.5850204161691","0",""
"099600","Badia Susinana","44.1423504273304","11.5753078315577","0",""
"099610","Badia Susinana","44.1425349893007","11.5755738790015","0",""
"099640","Badia Croce","44.1355865359707","11.5578805599407","0",""
"099650","Badia Croce","44.1352706750785","11.5583696608651","0",""
"099680","Delle Acque","44.1170706150175","11.5518237886714","0",""
"099690","Sp.306,Fr.19","44.116508808609","11.5515945930246","0",""
"099720","Palazzuolo","44.1134783595794","11.5475779354571","0",""
"099730","Palazzuolo","44.1133737905467","11.547551555324","0",""
"099780","Valdoniche","44.111965250044","11.5420470924602","0",""
"099790","Valdoniche","44.1119655898246","11.5423333071916","0",""
"099820","Mantigno","44.1084780123371","11.5352741039571","0",""
"099830","Caseificio","44.1079456851766","11.5347884947527","0",""
"099840","Quadalto,Fr.21","44.1068257528809","11.5330876331013","0",""
"099850","Quadalto,27","44.1070438076518","11.5335663967639","0",""
"099860","Santuario","44.1059480207946","11.5316352036404","0",""
"592000","Autostazione","44.3574593253137","11.7172647496565","0",""
"592010","Autostazione","44.3573658245202","11.7174862908872","0",""
"592040","Selice,Fr.191","44.3604202021355","11.7228857279921","0",""
"592050","Selice-Poiano","44.359888848365","11.7227554598577","0",""
"592060","De Amicis,Fr.85","44.3536645564942","11.7205716535695","0",""
"592070","De Amicis,89","44.3538494415674","11.7205837489899","0",""
"592080","Pisacane,47","44.3494417421402","11.7236284508939","0",""
"592090","Pisacane,78a","44.3502034383128","11.7227481501554","0",""
"592100","Selice-Einaudi","44.3675565862541","11.7282916520588","0",""
"592110","Selice-Einaudi","44.3673747522502","11.728551289687","0",""
"592120","Pisacane,71","44.345801686137","11.7305295238135","0",""
"592130","Pisacane,Fr.69","44.3459983943414","11.7300473127034","0",""
"592200","Selice-Lasie","44.3739549265301","11.733290766981","0",""
"592210","Selice-Lasie","44.3741001181584","11.733543538113","0",""
"592240","Selice-A14","44.3776556765416","11.7361944570868","0",""
"592250","Selice-A14","44.3783393754922","11.7368162919028","0",""
"592260","Imola Zona Ind.","44.3862878512907","11.7408276130584","0",""
"592280","Selice-Bicocca","44.3851616141812","11.7418421370448","0",""
"592300","Emilia Levante","44.3359689674963","11.7582022114014","0",""
"592310","Emilia Levante","44.3362045809591","11.7583192933252","0",""
"592340","Fluno-Selice","44.4138165819058","11.7633255295792","0",""
"592350","Fluno-Selice","44.4140238384088","11.7630950988235","0",""
"592360","Sasso Morelli,62","44.4139806840583","11.752734810564","0",""
"592370","Sasso Morelli,62","44.4139720546707","11.7532285271011","0",""
"592380","Sasso Morelli,28","44.4170130433737","11.7385995234107","0",""
"592390","Sasso Morelli,28","44.4170071616142","11.7389812978277","0",""
"592400","S.Morelli Centro","44.4183635473485","11.7368461162239","0",""
"592410","S.Morelli Centro","44.4176574933989","11.7366827552213","0",""
"592440","Nuova,15","44.4294535891405","11.7386476570016","0",""
"592450","Nuova,Fr.15","44.4295357765159","11.738434117837","0",""
"592460","Giardino","44.4225046585891","11.7123526357792","0",""
"592461","Giardino","44.4224893802928","11.7122529283874","0",""
"592480","Ponte Massa","44.456287358954","11.7953725501942","0",""
"592490","Ponte Massa","44.4561123129293","11.7954622326987","0",""
"592500","Selice-Fluno","44.4145187967826","11.7641802408736","0",""
"592510","Selice-Fluno","44.4140552771061","11.7641382931676","0",""
"592580","Fluno,1385","44.4132839772548","11.7642290872074","0",""
"592590","Fluno,1416","44.4134196654723","11.7644628747498","0",""
"592600","Fluno,Fr.800","44.4106205061275","11.771170847617","0",""
"592610","Fluno,800","44.4108371852024","11.7710425098761","0",""
"592620","Fluno,Fr.292","44.4086271914309","11.7763279341059","0",""
"592630","Fluno,268","44.4086896692687","11.7766649081533","0",""
"592660","Bubano Centro","44.4110978088368","11.7816300266658","0",""
"592670","Bubano Centro","44.4112326797722","11.7816000014507","0",""
"592680","S.Francesco,2631","44.4122105332617","11.7856165457039","0",""
"592690","S.Francesco,2722","44.4126667575447","11.7847766087091","0",""
"592720","S.Francesco,1614","44.4077328097993","11.7967997619639","0",""
"592730","S.Francesco,1630","44.4078859677144","11.7967216654532","0",""
"592740","Mordano Cimitero","44.4043987643636","11.8061673838036","0",""
"592750","Mordano Cimitero","44.4046291980275","11.8060955244885","0",""
"592780","Mordano Conad","44.3979878828362","11.8119143339967","0",""
"592790","Mordano Conad","44.3980972455887","11.8119333882814","0",""
"592860","Nuova,19","44.4287644201308","11.6885960967242","0",""
"592870","Nuova,Fr.18","44.42894960028","11.688408951748","0",""
"592900","2 Giugno,20","44.4308790496561","11.681208124577","0",""
"592920","Castelguelfo","44.4318523385251","11.6763586741728","0",""
"690000","Matteotti","44.6146759963173","11.8359208110449","0",""
"690010","P.Zza Marconi","44.6145287361829","11.8357120830062","0",""
"690040","Celletta,63","44.6071945014156","11.8404717798022","0",""
"690050","Celletta,64a","44.6068387650529","11.8403501979285","0",""
"690100","S.Biagio","44.5840783975102","11.8632491633908","0",""
"690110","S.Biagio","44.5838371687009","11.8639286419752","0",""
"690120","Ponte Bastia","44.5810419371205","11.872310336786","0",""
"690130","Ponte Bastia","44.5807294977134","11.8721337106538","0",""
"690200","Filo Di Argenta","44.5879494104505","11.9293655118851","0",""
"690210","Filo Di Argenta","44.5880633859391","11.9288402862791","0",""
