service_id,date,exception_type
"171_100207","20191227","1"
"171_100207","20191228","1"
"171_100207","20191230","1"
"171_100207","20191231","1"
"171_100207","20200102","1"
"171_100207","20200103","1"
"171_100207","20200104","1"
"171_100207","20200107","1"
"171_100207","20200108","1"
"171_100207","20200109","1"
"171_100207","20200110","1"
"171_100207","20200113","1"
"171_100207","20200114","1"
"171_100207","20200115","1"
"171_100207","20200116","1"
"171_100207","20200117","1"
"171_100207","20200120","1"
"171_100207","20200121","1"
"171_100207","20200122","1"
"171_100207","20200123","1"
"171_100207","20200124","1"
"171_100207","20200127","1"
"171_100207","20200128","1"
"171_100207","20200129","1"
"171_100207","20200130","1"
"171_100207","20200131","1"
"171_100207","20200203","1"
"171_100207","20200204","1"
"171_100207","20200205","1"
"171_100207","20200206","1"
"171_100207","20200207","1"
"171_100207","20200210","1"
"171_100207","20200211","1"
"171_100207","20200212","1"
"171_100207","20200213","1"
"171_100207","20200214","1"
"171_100207","20200217","1"
"171_100207","20200218","1"
"171_100207","20200219","1"
"171_100207","20200220","1"
"171_100207","20200221","1"
"171_100207","20200224","1"
"171_100207","20200225","1"
"171_100207","20200226","1"
"171_100207","20200227","1"
"171_100207","20200228","1"
"171_100207","20200302","1"
"171_100207","20200303","1"
"171_100207","20200304","1"
"171_100207","20200305","1"
"171_100207","20200306","1"
"171_100207","20200309","1"
"171_100207","20200310","1"
"171_100207","20200311","1"
"171_100207","20200312","1"
"171_100207","20200313","1"
"171_100207","20200316","1"
"171_100207","20200317","1"
"171_100207","20200318","1"
"171_100207","20200319","1"
"171_100207","20200320","1"
"171_100207","20200323","1"
"171_100207","20200324","1"
"171_100207","20200325","1"
"171_100207","20200326","1"
"171_100207","20200327","1"
"171_100207","20200330","1"
"171_100207","20200331","1"
"171_100207","20200401","1"
"171_100207","20200402","1"
"171_100207","20200403","1"
"171_100207","20200406","1"
"171_100207","20200407","1"
"171_100207","20200408","1"
"171_100207","20200409","1"
"171_100207","20200410","1"
"171_100207","20200411","1"
"171_100207","20200413","1"
"171_100207","20200414","1"
"171_100207","20200415","1"
"171_100207","20200416","1"
"171_100207","20200417","1"
"171_100207","20200420","1"
"171_100207","20200421","1"
"171_100207","20200422","1"
"171_100207","20200423","1"
"171_100207","20200424","1"
"171_100207","20200427","1"
"171_100207","20200428","1"
"171_100207","20200429","1"
"171_100207","20200430","1"
