stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"TRC027","Rivazzurra","44.0400753299608","12.6067631112984","0",""
"TRC028","Marebello","44.0428145835136","12.6040905980008","0",""
"TRC029","Bellariva","44.0469406007263","12.6001259438478","0",""
"TRC030","Toscanini","44.0492245062765","12.5979160523149","0",""
"TRC031","Lagomaggio","44.0536307980524","12.5936781077773","0",""
"TRC032","Pascoli","44.0576995692385","12.5884755125089","0",""
"TRC033","Kennedy","44.0615001317668","12.5798729000952","0",""
"TRC034","Rimini Station","44.0631762894938","12.5749561671977","0",""
"U00001","Emilia-Pieta","44.0843295430326","12.4185135549752","0",""
"U00002","Pieta-Bellavista","44.0848341729048","12.414157511325","0",""
"U00003","Pieta-S.Bartolo","44.0868831177841","12.408235089343","0",""
"U00006","Liberta-Puccini","44.0912543603351","12.4021074862166","0",""
"U00007","Municipio","44.091430434114","12.3991642612609","0",""
"U00008","Centro Studi","44.0913224494084","12.3932448945228","0",""
"U00009","P.Zza Borsellino","44.0913906703339","12.3893351698802","0",""
"U00010","Menotti","44.0915407209197","12.3868427441221","0",""
"U00013","Biondo","44.0916277198941","12.3857271603036","0",""
"U00014","Bandiera-Menotti","44.091175827359","12.3878144202171","0",""
"U00015","P.Zza Borsellino","44.0912711781401","12.3894247474622","0",""
"U00016","Centro Studi","44.0911007240665","12.3935887867831","0",""
"U00017","Municipio","44.0912451638696","12.3995283937356","0",""
"U00018","Liberta-Puccini","44.0910810809846","12.4024055030291","0",""
"U00021","Pieta-S.Bartolo","44.0866913736712","12.4083152878311","0",""
"U00022","Pieta-Bellavista","44.0846520074332","12.4144620921522","0",""
"U00023","Emilia-Pieta","44.0836050521644","12.418922900508","0",""
"U00026","Savignano Fs","44.0952377023365","12.4036694208124","0",""
"U00027","Saffi-Chiesa","44.0943756193367","12.4009963650563","0",""
"U00028","Emilia Scuola","44.0936200986381","12.4012262255373","0",""
"U00029","Galvani","44.094390192982","12.4042093362315","0",""
"U00030","P.Zza Mercato","44.0938416841512","12.3975157454019","0",""
"U00031","P.Zza Mercato","44.0937463392467","12.3972825810256","0",""
"U00032","La Pira-Pieta","44.087902385832","12.4073286879718","0",""
"U00033","La Pira Centro","44.0892082992836","12.4085394487445","0",""
"U00034","La Pira-Liberta","44.0907650062964","12.4098923282972","0",""
"U00035","Liberta-Emilia","44.0913295913084","12.4077940790621","0",""
"U00036","Libertaarmellini","44.0913069795409","12.4046190990355","0",""
"U00037","Liberta-Lubelza","44.0912193298097","12.4055160768155","0",""
"U00038","Liberta-Turati","44.0911636259433","12.4078200701719","0",""
"U00039","La Pira-Liberta","44.0907363635156","12.4096218912445","0",""
"U00040","La Pira Centro","44.0891347538957","12.4082741042579","0",""
"U00041","La Pira-Pieta","44.0879065626371","12.4071161617924","0",""
"U00042","Repubblicamilano","44.0974229577296","12.4041546538579","0",""
"U00043","Repubbl-Cimitero","44.1000384953177","12.4069354786847","0",""
"U00044","Repubbl-Cimitero","44.1000632419014","12.4066376789678","0",""
"U00045","V. Monte Sole","44.0986848184517","12.4042180942985","0",""
"V00001","Ponte Uso","43.9814595973297","12.3022247657408","0",""
"V00002","S.Paolo Peep","43.9972103158082","12.2982182040298","0",""
"V00003","S.Paolo-Sogliano","44.0013117535406","12.2967192127734","0",""
"V00004","Sogliano","44.004721321521","12.3011762572225","0",""
"V00005","Sogliano","44.0047532455832","12.3010033014448","0",""
"V00006","S.Paolo-Sogliano","44.0008025869402","12.2961280813438","0",""
"V00007","S.Paolo Peep","43.9966258426386","12.2989994431006","0",""
"V00008","Ponte Uso","43.9813068553133","12.3022379214154","0",""
"V00009","Peep Ponte Uso","43.9828703346132","12.3055398458557","0",""
"V00010","Fabbr. Ponte Uso","43.9852666801033","12.3105686774227","0",""
"V00011","Fabbr. Ponte Uso","43.9853070267758","12.3103704648427","0",""
"V00012","Peep Ponte Uso","43.9827628818294","12.3051831184659","0",""
"V00013","Sp30,68","43.984181898284","12.2998912747223","0",""
"V00014","Sp30,68","43.9843013953901","12.2998048061531","0",""
"V00015","Roma,1409","44.0059684384389","12.3052201818749","0",""
"V00016","Sogliano Capolinea","44.0089461923529","12.31432653327","0",""
"V00017","Sogliano Capolinea","44.0089818238752","12.3140691391171","0",""
"V00018","Roma,24","44.0061009812433","12.3050326610431","0",""
